key,val
3542517189.02529098652.010687.080.0,s37-eth1
2203533492.0597817836.063894.080.0,s38-eth1
2529098506.0391118058.062603.080.0,s39-eth1
2529098652.03717716227.080.026365.0,s40-eth1
3417080376.01919340076.043358.061711.0,s37-eth1
2529098652.03709008828.0443.043950.0,s38-eth1
2529098652.01728504129.0443.08155.0,s39-eth1
2529098652.02573416848.080.063729.0,s40-eth1
2529098652.03529177289.0443.035666.0,s37-eth1
3536646882.02529098652.031609.080.0,s38-eth1
3389795842.03086763523.058578.0443.0,s39-eth1
3391234802.02529098652.022741.080.0,s40-eth1
22947451.02529098652.050941.080.0,s37-eth1
2529098652.01933998519.080.09729.0,s38-eth1
2247440199.02691237601.062834.0443.0,s39-eth1
3629795733.02203461930.0443.049316.0,s40-eth1
2529098652.03389140256.080.027278.0,s37-eth1
3389795842.01256336476.061081.0443.0,s38-eth1
2529098652.03742838647.0443.050500.0,s39-eth1
2529098652.0243553363.0443.010072.0,s40-eth1
2203534292.02887326162.047452.0443.0,s37-eth1
2246429757.01980290790.080.06755.0,s38-eth1
2247440199.02691237601.062838.0443.0,s39-eth1
2736656253.01256367699.054703.0443.0,s40-eth1
3639794188.02203470768.0443.049643.0,s37-eth1
620072998.03417080376.039697.046743.0,s38-eth1
1959123985.02529098652.060155.080.0,s39-eth1
2203533492.0597971129.064278.080.0,s40-eth1
2529098506.01747515011.053902.080.0,s37-eth1
3389795842.02918458160.035076.0443.0,s38-eth1
3417037206.02529098652.057208.080.0,s39-eth1
2529098652.01917576046.0443.049089.0,s40-eth1
3417080376.0620072998.046743.039697.0,s37-eth1
2736694359.01747452153.052447.0443.0,s38-eth1
2736694760.0520180403.036964.0443.0,s39-eth1
3417081032.03685640215.080.062072.0,s40-eth1
3389795842.0287012266.063373.0443.0,s37-eth1
2529098652.01959123985.080.060155.0,s38-eth1
2529075092.0287142961.063572.080.0,s39-eth1
2246405267.02887326011.050033.0443.0,s40-eth1
2529098652.02571259202.0443.057013.0,s37-eth1
2529098652.03065733465.080.036097.0,s38-eth1
2529098652.02571259202.0443.057006.0,s39-eth1
2203517772.03032230133.022.062709.0,s40-eth1
2529098652.03417037206.080.057208.0,s37-eth1
2246429289.02887326821.060598.0443.0,s38-eth1
2529098652.02058763052.080.053400.0,s39-eth1
3417081683.0520180363.050868.0443.0,s40-eth1
3417081029.01976084954.0443.057979.0,s37-eth1
3389795842.02918460520.064915.0443.0,s38-eth1
3389795842.0390961517.064238.080.0,s39-eth1
2529070520.03698792201.080.062147.0,s40-eth1
2529098506.01747515011.051220.080.0,s37-eth1
2203521326.01076256014.063468.05222.0,s38-eth1
2736658283.01256336477.063099.0443.0,s39-eth1
2529098652.02575102202.080.026093.0,s40-eth1
2567597291.02529098652.059206.080.0,s37-eth1
2571006876.02529098652.046312.080.0,s38-eth1
2736678201.0232570105.060116.0443.0,s39-eth1
3629795797.02529050325.0443.049959.0,s40-eth1
2529085439.01745710131.059377.0443.0,s37-eth1
2529051366.01223795264.04708.0443.0,s38-eth1
2529051366.01223795264.04709.0443.0,s39-eth1
3389795842.01972561093.043090.0443.0,s40-eth1
2203534940.02887325788.061660.0443.0,s37-eth1
2887326165.02203477399.0443.051397.0,s38-eth1
2203534940.02887325788.062021.0443.0,s39-eth1
2529098652.0238658046.080.036162.0,s40-eth1
2203534295.02887326796.044759.0443.0,s37-eth1
2529098506.01747515025.064452.080.0,s38-eth1
2529098506.01747515011.060606.080.0,s39-eth1
2529051366.01745773610.04677.0443.0,s40-eth1
3389795874.01972560127.056999.080.0,s37-eth1
3404446183.02529098652.022873.080.0,s38-eth1
2887326187.02203466460.0443.035828.0,s39-eth1
2529098506.01620175719.065154.080.0,s40-eth1
2231714041.02529098652.010352.080.0,s37-eth1
2529098652.022947451.080.050941.0,s38-eth1
3389140256.02529098652.027278.080.0,s39-eth1
2529098652.03058118097.080.043762.0,s40-eth1
2247440199.02691237601.062833.0443.0,s37-eth1
1875979350.02529098652.058131.080.0,s38-eth1
3389795842.02918461434.049364.0443.0,s39-eth1
3389795842.02887326794.041156.0443.0,s40-eth1
2529070520.02571855180.08080.060942.0,s37-eth1
3389795842.0520180363.034063.0443.0,s38-eth1
3389795842.02918454763.040888.0443.0,s39-eth1
3734331805.02529098652.055247.058024.0,s40-eth1
