key,val
"[-0.05252876  0.05840893 -0.01020446 -0.00657774  0.06031996  0.00856352
 -0.02766409  0.07058661 -0.00376347  0.05036179 -0.01123144  0.08451661
  0.01202263 -0.00219322]",8
"[-0.04881268  0.04119142 -0.02234564 -0.0310775  -0.01423313  0.06039203
  0.02188915 -0.00368053 -0.00762696  0.00312065  0.03740209  0.00372152
  0.00394317 -0.00230167]",11
"[-0.03402617  0.05941792  0.0503429   0.02943292 -0.01687388 -0.04966509
 -0.00700889  0.04136873 -0.06265311 -0.00083457  0.00888404 -0.06410872
  0.00313567 -0.00540857]",3
"[-0.05378125 -0.06465114  0.04376863 -0.05332134  0.02287619 -0.0107178
 -0.0028155  -0.04210248 -0.0392947   0.03539437  0.00613112  0.02993342
  0.00015303 -0.00354265]",6
"[-0.04613267 -0.05089449 -0.01998848  0.05638958 -0.00501939  0.02436084
 -0.01013992  0.01436833  0.03737809 -0.06759874  0.03356034 -0.01751198
  0.00011069  0.00156659]",2
"[-0.01339761  0.02327256  0.05294091  0.05240065  0.13397852 -0.02425079
  0.07464424 -0.02697486  0.04622021  0.03923335  0.00918998 -0.07200215
 -0.00068115  0.01191713]",3
"[-0.04468213  0.04882104 -0.02955424 -0.02564487 -0.04980352 -0.01671272
  0.01001137  0.02335669  0.06375562  0.03554737  0.02594914 -0.01897752
 -0.00226959 -0.00136551]",3
"[-0.04760975  0.04740445 -0.03710733 -0.01748205  0.06241098 -0.00082709
 -0.01684579  0.02312914 -0.04539598 -0.0466321  -0.01730719  0.02707946
 -0.99187742 -0.        ]",1
"[-0.05193479 -0.03557847 -0.00530647  0.04560822  0.01533327  0.04051299
 -0.02071199 -0.05803746 -0.02969426  0.03555301 -0.03722009  0.01218078
  0.00078612 -0.00312113]",7
"[-0.01064564  0.02418731  0.02440452  0.02593469  0.07486997 -0.03645517
  0.15818627 -0.03271175  0.07615423 -0.06725661 -0.06850832  0.01322717
  0.00282195 -0.96069517]",1
"[-0.04796028 -0.05102154 -0.04038905  0.06206024 -0.00965887 -0.00757809
  0.01844537  0.05164275 -0.00702791  0.05877987  0.02679052  0.00721383
 -0.00214202 -0.00531324]",2
"[-0.0400266   0.03806621  0.11798489  0.0428816  -0.07565058  0.04488115
 -0.00927688 -0.0072122   0.06156329 -0.043701   -0.02885     0.03326443
 -0.00558884  0.00753921]",1
"[-0.04955936  0.02730355 -0.01625708  0.02384133  0.00738676 -0.08298689
 -0.05581339 -0.07548817  0.00479935  0.01552014 -0.0014281   0.00002587
  0.00266967 -0.00291518]",6
"[-0.04748507 -0.06339293  0.01525475 -0.07962179  0.00446682  0.0155163
  0.04146197  0.02319286 -0.02524438 -0.03253733  0.03797412 -0.01164171
  0.00189162  0.00070752]",1
